date	open	high	low	close	volume	code
2014-07-25	26920	27100	26700	27100	8790150	a005930
2014-07-24	27000	27160	26620	27100	8051700	a005930
2014-07-23	27080	27140	26700	26760	6417300	a005930
2014-07-22	26960	27160	26900	26960	6300950	a005930
2014-07-21	26980	27200	26860	27060	8059950	a005930
2014-07-18	26300	26860	26280	26860	9742650	a005930
2014-07-17	26520	26700	26400	26600	10922700	a005930
2014-07-16	26260	26460	26220	26420	9114200	a005930
2014-07-15	26000	26460	25940	26400	11976050	a005930
2014-07-14	25960	26000	25720	25720	7082150	a005930
2014-07-11	26000	26040	25640	25680	10779600	a005930
2014-07-10	26160	26220	26040	26120	8960200	a005930
2014-07-09	25740	26160	25660	26160	11829900	a005930
2014-07-08	25880	26380	25740	25900	12073200	a005930
2014-07-07	25820	26020	25800	25840	9437050	a005930
2014-07-04	26440	26520	26060	26120	5978850	a005930
2014-07-03	26720	26720	26320	26360	8543050	a005930
2014-07-02	26340	26620	26120	26600	11139250	a005930
2014-07-01	26160	26280	26020	26200	8725400	a005930
2014-06-30	26200	26480	26180	26440	8881050	a005930
2014-06-27	26140	26380	26120	26220	8953050	a005930
2014-06-26	26180	26860	26140	26500	12765300	a005930
2014-06-25	26600	26660	26360	26400	10231900	a005930
2014-06-24	26800	27080	26640	26900	11890850	a005930
2014-06-23	26420	26640	26320	26440	12488250	a005930
